left,right,distance,size
2.200000000000000000e+01,8.800000000000000000e+01,2.409597899999999981e+01,2.000000000000000000e+00
2.460000000000000000e+02,2.520000000000000000e+02,2.553998362886597562e+01,1.000000000000000000e+02
1.020000000000000000e+02,2.510000000000000000e+02,2.809030233333333015e+01,4.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+01,2.912578500000000048e+01,2.000000000000000000e+00
2.550000000000000000e+02,2.560000000000000000e+02,2.928495303249999893e+01,1.040000000000000000e+02
2.800000000000000000e+01,2.490000000000000000e+02,3.082853049999999939e+01,3.000000000000000000e+00
2.600000000000000000e+01,2.580000000000000000e+02,3.429951139423076967e+01,1.050000000000000000e+02
2.570000000000000000e+02,2.590000000000000000e+02,3.543513766666666243e+01,5.000000000000000000e+00
1.010000000000000000e+02,2.530000000000000000e+02,3.668446000000000140e+01,3.000000000000000000e+00
7.000000000000000000e+00,1.600000000000000000e+01,3.714472700000000316e+01,2.000000000000000000e+00
2.500000000000000000e+01,2.600000000000000000e+02,3.953306427619048691e+01,1.060000000000000000e+02
4.900000000000000000e+01,6.100000000000000000e+01,4.168185299999999671e+01,2.000000000000000000e+00
7.300000000000000000e+01,2.640000000000000000e+02,4.285423443396227583e+01,1.070000000000000000e+02
7.600000000000000000e+01,2.540000000000000000e+02,4.401292449999999690e+01,3.000000000000000000e+00
1.400000000000000000e+01,2.630000000000000000e+02,4.493438899999999592e+01,3.000000000000000000e+00
2.650000000000000000e+02,2.660000000000000000e+02,4.820922835981308197e+01,1.090000000000000000e+02
1.900000000000000000e+01,2.690000000000000000e+02,4.857763427522935018e+01,1.100000000000000000e+02
2.670000000000000000e+02,2.700000000000000000e+02,5.241639633030303003e+01,1.130000000000000000e+02
2.610000000000000000e+02,2.680000000000000000e+02,5.472268053333333881e+01,8.000000000000000000e+00
8.400000000000000000e+01,1.340000000000000000e+02,6.353430000000000177e+01,2.000000000000000000e+00
3.000000000000000000e+00,2.730000000000000000e+02,7.268588350000000275e+01,3.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,7.868635700000000099e+01,2.000000000000000000e+00
2.710000000000000000e+02,2.720000000000000000e+02,8.660061460730088356e+01,1.210000000000000000e+02
9.000000000000000000e+01,2.620000000000000000e+02,8.882828733333332138e+01,4.000000000000000000e+00
1.200000000000000000e+01,5.500000000000000000e+01,9.013553699999999935e+01,2.000000000000000000e+00
2.100000000000000000e+01,2.760000000000000000e+02,9.104354820661156111e+01,1.220000000000000000e+02
1.500000000000000000e+01,2.750000000000000000e+02,9.463214600000000587e+01,3.000000000000000000e+00
4.000000000000000000e+00,2.800000000000000000e+02,1.019995906666666770e+02,4.000000000000000000e+00
2.780000000000000000e+02,2.790000000000000000e+02,1.034207819590163950e+02,1.240000000000000000e+02
2.740000000000000000e+02,2.770000000000000000e+02,1.064632430833333245e+02,7.000000000000000000e+00
2.000000000000000000e+01,2.820000000000000000e+02,1.119988371612903393e+02,1.250000000000000000e+02
